Epoch,Training Loss,Test Loss,Test Accuracy
1,,,37.09000015
2,,,42.63000107
3,,,45.18999863
4,,,51.5
5,,,52.49000168
6,,,51.95999908
7,,,53.45000076
8,,,54.81000137
9,,,56.02000046
10,,,56.66999817
