Epoch,Training Loss,Test Loss,Test Accuracy
1,,,42.06000137
2,,,49.75
3,,,52.99000168
4,,,52.88999939
5,,,53.36000061
6,,,57.72999954
7,,,58.02000046
8,,,58.54999924
9,,,57.41999817
10,,,58.41999817
